 BLEU    NIST       TER        METEROR   |  BLEU    NIST       TER        METEROR   | NAME
0.7809 11.7800 0.0900753357 0.5732035014 | 0.7956 13.2094 0.0837782697 0.5783175902 | in-no-bigram-pos-r2l-MIRA
0.7807 11.7600 0.0913855224 0.5728203801 | 0.7984 13.2189 0.0817814820 0.5789600753 | in-no-bigram-pos-l2r-MERT
0.7806 11.7693 0.0904028824 0.5732035014 | 0.8028 13.2499 0.0799583279 0.5806491400 | in-no-bigram-pos-bidir-Alt
0.7806 11.7484 0.0912217491 0.5728203801 | 0.7973 13.2018 0.0823892000 0.5787026108 | in-no-pos-bidir-Alt
0.7800 11.7495 0.0918768425 0.5726675156 | 0.7978 13.2103 0.0816946651 0.5788312644 | no-lex-n-gram-no-pos-l2r-Alt
0.7799 11.7536 0.0928594825 0.5726675156 | 0.7988 13.2169 0.0817380735 0.5792397077 | all-n-gram-no-pos-l2r-MERT
0.7798 11.7537 0.0897477891 0.5724386282 | 0.7928 13.1770 0.0852975648 0.5767072598 | in-n-gram-no-backward-r2l-Alt
0.7798 11.7522 0.0907304291 0.5723624412 | 0.7932 13.1780 0.0852107479 0.5766231814 | no-lex-n-gram-no-backward-r2l-MIRA
0.7797 11.7573 0.0922043891 0.5727439205 | 0.7925 13.1775 0.0833441854 0.5769177486 | in-no-pos-bidir-MIRA
0.7797 11.7490 0.0920406158 0.5725148696 | 0.7955 13.1902 0.0829101011 0.5780190990 | in-n-gram-no-pos-bidir-Alt
0.7797 11.7475 0.0912217491 0.5719823184 | 0.7992 13.2155 0.0810869471 0.5790675383 | in-n-gram-l2r-Alt
0.7796 11.7531 0.0915492958 0.5728968944 | 0.7981 13.2150 0.0817814820 0.5789171208 | all-n-gram-no-pos-l2r-MIRA
0.7796 11.7478 0.0931870292 0.5724386282 | 0.7929 13.1767 0.0838650866 0.5770231503 | in-n-gram-no-pos-bidir-MIRA
0.7794 11.7459 0.0930232558 0.5725911653 | 0.7974 13.2100 0.0819985241 0.5787240422 | no-lex-n-gram-no-pos-l2r-MIRA
0.7793 11.7471 0.0930232558 0.5723624412 | 0.7963 13.1966 0.0812171724 0.5784457742 | no-lex-n-gram-no-pos-bidir-MERT
0.7791 11.7498 0.0904028824 0.5722102299 | 0.7926 13.1751 0.0855146069 0.5766231814 | in-n-gram-no-backward-r2l-MERT
0.7789 11.7565 0.0920406158 0.5722863085 | 0.7899 13.1608 0.0860355081 0.5761201082 | in-n-gram-no-pos-r2l-MERT
0.7787 11.7537 0.0902391091 0.5722863085 | 0.7920 13.1763 0.0843425793 0.5768966809 | in-no-pos-r2l-MERT
0.7786 11.7501 0.0941696692 0.5719064556 | 0.7916 13.1733 0.0844728046 0.5764342488 | in-no-pos-l2r-MIRA
0.7784 11.7600 0.0935145758 0.5719064556 | 0.7936 13.1830 0.0856448322 0.5774881702 | in-all-r2l-MIRA
0.7784 11.7443 0.0910579758 0.5720582349 | 0.7964 13.2061 0.0838650866 0.5780829903 | all-n-gram-no-backward-r2l-Alt
0.7783 11.7419 0.0928594825 0.5719823184 | 0.7953 13.1890 0.0830837349 0.5778276568 | in-n-gram-no-pos-l2r-Alt
0.7783 11.7403 0.0958074026 0.5717548912 | 0.7927 13.1750 0.0846464383 0.5768545580 | in-n-gram-no-pos-l2r-MIRA
0.7782 11.7619 0.0938421225 0.5716035411 | 0.7935 13.1925 0.0844293962 0.5769598967 | all-n-gram-l2r-Alt
0.7780 11.7462 0.0935145758 0.5719823184 | 0.7885 13.1498 0.0871641273 0.5751417853 | in-n-gram-no-backward-r2l-MIRA
0.7775 11.7570 0.0948247625 0.5713769161 | 0.7955 13.1952 0.0852975648 0.5779552463 | in-all-r2l-MERT
0.7775 11.7543 0.0917130691 0.5716791894 | 0.7862 13.1392 0.0865998177 0.5746869261 | in-no-pos-r2l-MIRA
0.7773 11.7444 0.0915492958 0.5715279461 | 0.7906 13.1646 0.0861223250 0.5757443646 | all-n-gram-no-backward-r2l-MIRA
0.7771 11.7489 0.0948247625 0.5710754931 | 0.7928 13.1736 0.0849068889 0.5766231814 | no-lex-n-gram-r2l-Alt
0.7771 11.7358 0.0935145758 0.5712260987 | 0.7950 13.1895 0.0819117073 0.5777002214 | no-lex-n-gram-no-pos-l2r-MERT
0.7770 11.7457 0.0962987226 0.5716035411 | 0.7924 13.1718 0.0863827755 0.5768124519 | all-n-gram-no-pos-r2l-MIRA
0.7769 11.7453 0.0953160825 0.5715279461 | 0.7899 13.1593 0.0870773104 0.5755153971 | no-lex-n-gram-no-backward-r2l-MERT
0.7767 11.7462 0.0938421225 0.5713014809 | 0.7931 13.1801 0.0859486912 0.5768335028 | all-n-gram-no-backward-r2l-MERT
0.7764 11.7327 0.0954798559 0.5710754931 | 0.7923 13.1675 0.0859486912 0.5767282899 | no-lex-n-gram-no-pos-r2l-Alt
0.7761 11.7420 0.0949885359 0.5704751765 | 0.7933 13.1799 0.0856448322 0.5767914051 | no-lex-n-gram-r2l-MIRA
0.7760 11.7359 0.0956436292 0.5708499806 | 0.7911 13.1611 0.0858184659 0.5759738274 | no-lex-n-gram-no-backward-r2l-Alt
0.7754 11.7465 0.0918768425 0.5712260987 | 0.7961 13.2080 0.0829969180 0.5783389434 | in-no-bigram-pos-r2l-Alt
0.7754 11.7338 0.0959711759 0.5709250988 | 0.7929 13.1722 0.0856448322 0.5770231503 | all-n-gram-no-pos-r2l-Alt
0.7749 11.7430 0.0931870292 0.5709250988 | 0.7949 13.1977 0.0838650866 0.5777214499 | in-no-bigram-pos-r2l-MERT
0.7748 11.7379 0.0933508025 0.5706249412 | 0.7891 13.1498 0.0861223250 0.5756194120 | in-no-pos-r2l-Alt
0.7747 11.7314 0.0962987226 0.5704751765 | 0.7916 13.1627 0.0864695924 0.5763084807 | all-n-gram-no-pos-r2l-MERT
0.7744 11.7405 0.0931870292 0.5707749150 | 0.7888 13.1498 0.0860355081 0.5755777938 | in-n-gram-no-pos-r2l-Alt
0.7744 11.7383 0.0923681625 0.5710002696 | 0.7872 13.1373 0.0862959587 0.5749347898 | in-n-gram-no-pos-r2l-MIRA
0.7736 11.7280 0.0966262692 0.5704751765 | 0.7905 13.1594 0.0868168598 0.5760364945 | no-lex-n-gram-no-pos-r2l-MIRA
0.7732 11.7419 0.0946609892 0.5701016761 | 0.7941 13.1921 0.0842123540 0.5772976874 | in-n-gram-r2l-MERT
0.7731 11.7411 0.0967900426 0.5698781974 | 0.7895 13.1613 0.0872943526 0.5754530371 | all-n-gram-r2l-MIRA
0.7727 11.7417 0.0936783492 0.5701016761 | 0.7870 13.1482 0.0871641273 0.5747075594 | in-n-gram-r2l-MIRA
0.7722 11.7310 0.0958074026 0.5695809464 | 0.7917 13.1647 0.0863393671 0.5761828618 | no-lex-n-gram-r2l-MERT
0.7705 11.7298 0.0967900426 0.5689151179 | 0.7937 13.1901 0.0848634805 0.5771497711 | in-n-gram-r2l-Alt
0.7703 11.7176 0.0994104160 0.5690627245 | 0.7902 13.1579 0.0866432261 0.5758068961 | no-lex-n-gram-no-pos-r2l-MERT
0.7700 11.7150 0.0994104160 0.5690627245 | 0.7820 13.1168 0.0897686331 0.5727447765 | no-lex-bidir-word-bidir-Alt
0.7695 11.7227 0.0981002293 0.5687677133 | 0.7894 13.1615 0.0875982116 0.5754322586 | all-n-gram-r2l-MERT
0.7686 11.7126 0.0974451359 0.5684735071 | 0.7871 13.1402 0.0875548031 0.5745426054 | all-n-gram-r2l-Alt
0.7681 11.7020 0.0995741893 0.5681068740 | 0.7809 13.1113 0.0899422668 0.5723201892 | no-lex-bidir-word-l2r-Alt
0.7673 11.7003 0.1005568293 0.5676685513 | 0.7792 13.1028 0.0903763511 0.5716563681 | no-lex-word-l2r-MIRA
0.7666 11.6982 0.1007206027 0.5675228379 | 0.7790 13.1020 0.0904197595 0.5716162685 | no-lex-word-l2r-MERT
0.7666 11.6982 0.1007206027 0.5675228379 | 0.7790 13.1020 0.0904197595 0.5716162685 | no-lex-word-l2r-Alt
0.7664 11.7043 0.1007206027 0.5675956700 | 0.7791 13.1035 0.0906368017 0.5716563681 | no-lex-word-bidir-MIRA
0.7664 11.7043 0.1007206027 0.5675956700 | 0.7791 13.1035 0.0906368017 0.5716563681 | no-lex-word-bidir-MERT
0.7664 11.7043 0.1007206027 0.5675956700 | 0.7791 13.1035 0.0906368017 0.5716563681 | no-lex-word-bidir-Alt
0.7657 11.7068 0.0967900426 0.5676685513 | 0.7794 13.0996 0.0893345488 0.5720380650 | no-lex-bidir-word-bidir-MERT
0.7656 11.6971 0.0985915493 0.5673773207 | 0.7717 13.0588 0.0912011113 0.5690218541 | in-word-bidir-MIRA
0.7656 11.6971 0.0985915493 0.5673773207 | 0.7717 13.0588 0.0912011113 0.5690218541 | in-word-bidir-MERT
0.7656 11.6971 0.0985915493 0.5673773207 | 0.7717 13.0588 0.0912011113 0.5690218541 | in-word-bidir-Alt
0.7655 11.7071 0.0997379627 0.5675228379 | 0.7799 13.1062 0.0903329427 0.5720380650 | no-lex-bidir-word-bidir-MIRA
0.7651 11.6955 0.1018670160 0.5670868722 | 0.7792 13.0999 0.0913313365 0.5716764235 | no-lex-bidir-word-l2r-MIRA
0.7634 11.6857 0.1008843760 0.5668695462 | 0.7714 13.0599 0.0915483787 0.5690022882 | in-word-l2r-MIRA
0.7634 11.6857 0.1008843760 0.5668695462 | 0.7714 13.0599 0.0915483787 0.5690022882 | in-word-l2r-MERT
0.7634 11.6857 0.1008843760 0.5668695462 | 0.7714 13.0599 0.0915483787 0.5690022882 | in-word-l2r-Alt
0.7621 11.6935 0.0994104160 0.5658610825 | 0.7754 13.0816 0.0901159005 0.5702023643 | in-bidir-word-bidir-MIRA
0.7611 11.6704 0.1010481494 0.5658610825 | 0.7730 13.0540 0.0928072232 0.5694925052 | no-lex-bidir-word-r2l-Alt
0.7601 11.6655 0.1030134294 0.5654317371 | 0.7720 13.0495 0.0933715328 0.5690805731 | no-lex-word-r2l-MERT
0.7601 11.6655 0.1030134294 0.5654317371 | 0.7720 13.0495 0.0933715328 0.5690805731 | no-lex-word-r2l-Alt
0.7601 11.6655 0.1030134294 0.5654317371 | 0.7717 13.0479 0.0934583496 0.5689827258 | no-lex-word-r2l-MIRA
0.7597 11.6683 0.0987553226 0.5657177787 | 0.7644 13.0099 0.0951078699 0.5666606128 | in-word-r2l-MIRA
0.7597 11.6683 0.0987553226 0.5657177787 | 0.7644 13.0099 0.0951078699 0.5666606128 | in-word-r2l-MERT
0.7597 11.6683 0.0987553226 0.5657177787 | 0.7644 13.0099 0.0951078699 0.5666606128 | in-word-r2l-Alt
0.7589 11.6867 0.1002292827 0.5647199098 | 0.7749 13.0752 0.0903763511 0.5700837286 | in-bidir-word-bidir-MERT
0.7589 11.6867 0.1002292827 0.5647199098 | 0.7749 13.0752 0.0903763511 0.5700837286 | in-bidir-word-bidir-Alt
0.7584 11.6733 0.1046511628 0.5646489826 | 0.7738 13.0708 0.0915483787 0.5696695313 | in-bidir-word-l2r-MIRA
0.7575 11.6701 0.1028496561 0.5649329691 | 0.7764 13.0886 0.0916351956 0.5708970305 | no-lex-bidir-word-l2r-MERT
0.7569 11.6648 0.1020307894 0.5645781016 | 0.7717 13.0447 0.0937188002 0.5691197369 | no-lex-bidir-word-r2l-MIRA
0.7563 11.6693 0.1044873895 0.5636608216 | 0.7740 13.0712 0.0914615618 0.5696695313 | in-bidir-word-l2r-MERT
0.7563 11.6693 0.1044873895 0.5636608216 | 0.7740 13.0712 0.0914615618 0.5696695313 | in-bidir-word-l2r-Alt
0.7534 11.6527 0.1041598428 0.5633100662 | 0.7715 13.0403 0.0946303772 0.5690022882 | no-lex-bidir-word-r2l-MERT
0.7529 11.6482 0.1026858827 0.5628208939 | 0.7666 13.0173 0.0945869688 0.5671210621 | in-bidir-word-r2l-MIRA
0.7477 11.6345 0.1048149361 0.5612288443 | 0.7658 13.0174 0.0948474194 0.5668330519 | in-bidir-word-r2l-MERT
0.7477 11.6345 0.1048149361 0.5612288443 | 0.7658 13.0174 0.0948474194 0.5668330519 | in-bidir-word-r2l-Alt
